0.00;0.00;0.00
5968.00;-332.00;15212.00
7620.00;-296.00;13960.00
6668.00;-544.00;17916.00
6340.00;-1992.00;15416.00
6344.00;-880.00;13712.00
6844.00;-1840.00;14384.00
5380.00;-1068.00;15560.00
5648.00;-1976.00;15916.00
5232.00;-1468.00;15224.00
4372.00;-1776.00;16824.00
5700.00;-340.00;15108.00
6104.00;-896.00;14800.00
5856.00;-2612.00;16180.00
6252.00;-472.00;16104.00
5908.00;-1880.00;16940.00
4764.00;-540.00;14880.00
5988.00;812.00;13952.00
5460.00;508.00;15300.00
5720.00;2152.00;15216.00
5284.00;1536.00;15372.00
3808.00;696.00;16160.00
4664.00;1032.00;14968.00
5404.00;208.00;16376.00
4224.00;-1560.00;16604.00
5248.00;1100.00;14696.00
4004.00;692.00;16688.00
4912.00;948.00;15620.00
5120.00;1508.00;14848.00
4576.00;952.00;13648.00
4232.00;1428.00;15924.00
5136.00;2076.00;15888.00
5524.00;2380.00;15432.00
5456.00;2624.00;14660.00
5120.00;1864.00;15428.00
4616.00;1152.00;16636.00
4800.00;2228.00;15316.00
4772.00;2020.00;16460.00
4792.00;1320.00;14984.00
4792.00;1452.00;13880.00
3832.00;832.00;15476.00
4200.00;832.00;16076.00
4436.00;660.00;17024.00
4272.00;1496.00;15220.00
3556.00;-332.00;17680.00
7788.00;1268.00;14108.00
5600.00;-392.00;15152.00
5256.00;2656.00;17348.00
4776.00;2280.00;16020.00
5372.00;784.00;13736.00
7228.00;-256.00;22344.00
