85.00;85.00;0.00;99.43;38.12;8.64;2.34;1.99;1.24;1.34
31.37;31.37;0.00;99.35;38.12;8.64;2.34;1.99;1.24;1.34
31.44;31.44;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
31.50;31.50;0.00;99.40;38.12;8.64;2.34;1.99;1.24;1.34
31.50;31.50;0.00;99.36;38.12;8.64;2.34;1.99;1.24;1.34
31.56;31.56;0.00;99.45;38.12;8.64;2.34;1.99;1.24;1.34
31.62;31.62;0.00;99.39;38.12;8.64;2.34;1.99;1.24;1.34
31.69;31.69;0.00;99.39;38.12;8.64;2.34;1.99;1.24;1.34
31.69;31.69;0.00;99.40;38.12;8.64;2.34;1.99;1.24;1.34
31.75;31.75;0.00;99.41;38.12;8.64;2.34;1.99;1.24;1.34
31.81;31.81;0.00;99.39;38.12;8.64;2.34;1.99;1.24;1.34
31.87;31.87;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
31.94;31.94;0.00;99.37;38.12;8.64;2.34;1.99;1.24;1.34
32.00;32.00;0.00;99.41;38.12;8.64;2.34;1.99;1.24;1.34
32.06;32.06;0.00;99.36;38.12;8.64;2.34;1.99;1.24;1.34
32.13;32.13;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
32.19;32.19;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
32.25;32.25;0.00;99.40;38.12;8.64;2.34;1.99;1.24;1.34
32.31;32.31;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
32.38;32.38;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
32.38;32.38;0.00;99.43;38.12;8.64;2.34;1.99;1.24;1.34
32.44;32.44;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
32.50;32.50;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
32.56;32.56;0.00;99.38;38.12;8.64;2.34;1.99;1.24;1.34
32.56;32.56;0.00;99.42;38.12;8.64;2.34;1.99;1.24;1.34
